Participant,Practice,Block,Trial,VV,ObjectsCount
0,true,0,0,VV2,9
0,true,0,1,VV1,9
0,true,0,2,VV1VV2,9
0,false,1,0,VV1VV2,9
0,false,1,1,VV1,9
0,false,1,2,VV1VV2,9
0,false,1,3,VV1,9
0,false,1,4,VV1,9
0,false,1,5,VV2,9
0,false,1,6,VV2,9
0,false,1,7,VV1,9
0,false,1,8,VV2,9
0,false,1,9,VV1,9
0,false,1,10,VV1VV2,9
0,false,1,11,VV1VV2,9
0,false,1,12,VV2,9
0,false,1,13,VV2,9
0,false,1,14,VV1VV2,9
0,true,0,0,VV1VV2,16
0,true,0,1,VV2,16
0,true,0,2,VV1,16
0,false,2,0,VV2,16
0,false,2,1,VV1,16
0,false,2,2,VV2,16
0,false,2,3,VV1VV2,16
0,false,2,4,VV1VV2,16
0,false,2,5,VV1,16
0,false,2,6,VV1,16
0,false,2,7,VV2,16
0,false,2,8,VV1,16
0,false,2,9,VV1VV2,16
0,false,2,10,VV1VV2,16
0,false,2,11,VV1VV2,16
0,false,2,12,VV1,16
0,false,2,13,VV2,16
0,false,2,14,VV2,16
0,true,0,0,VV1,36
0,true,0,1,VV2,36
0,true,0,2,VV1VV2,36
0,false,3,0,VV2,36
0,false,3,1,VV1,36
0,false,3,2,VV2,36
0,false,3,3,VV1,36
0,false,3,4,VV1,36
0,false,3,5,VV1,36
0,false,3,6,VV1VV2,36
0,false,3,7,VV1VV2,36
0,false,3,8,VV1VV2,36
0,false,3,9,VV2,36
0,false,3,10,VV2,36
0,false,3,11,VV1VV2,36
0,false,3,12,VV2,36
0,false,3,13,VV1,36
0,false,3,14,VV1VV2,36
1,true,0,0,VV1,36
1,true,0,1,VV1VV2,36
1,true,0,2,VV2,36
1,false,1,0,VV1VV2,36
1,false,1,1,VV2,36
1,false,1,2,VV2,36
1,false,1,3,VV2,36
1,false,1,4,VV1,36
1,false,1,5,VV1,36
1,false,1,6,VV1VV2,36
1,false,1,7,VV1VV2,36
1,false,1,8,VV2,36
1,false,1,9,VV1,36
1,false,1,10,VV1VV2,36
1,false,1,11,VV2,36
1,false,1,12,VV1VV2,36
1,false,1,13,VV1,36
1,false,1,14,VV1,36
1,true,0,0,VV2,9
1,true,0,1,VV1VV2,9
1,true,0,2,VV1,9
1,false,2,0,VV2,9
1,false,2,1,VV1VV2,9
1,false,2,2,VV2,9
1,false,2,3,VV2,9
1,false,2,4,VV1VV2,9
1,false,2,5,VV1,9
1,false,2,6,VV1VV2,9
1,false,2,7,VV1,9
1,false,2,8,VV1,9
1,false,2,9,VV1,9
1,false,2,10,VV2,9
1,false,2,11,VV1,9
1,false,2,12,VV1VV2,9
1,false,2,13,VV1VV2,9
1,false,2,14,VV2,9
1,true,0,0,VV1,16
1,true,0,1,VV1VV2,16
1,true,0,2,VV2,16
1,false,3,0,VV1,16
1,false,3,1,VV2,16
1,false,3,2,VV1,16
1,false,3,3,VV2,16
1,false,3,4,VV1VV2,16
1,false,3,5,VV2,16
1,false,3,6,VV2,16
1,false,3,7,VV1VV2,16
1,false,3,8,VV1,16
1,false,3,9,VV1,16
1,false,3,10,VV1VV2,16
1,false,3,11,VV1,16
1,false,3,12,VV2,16
1,false,3,13,VV1VV2,16
1,false,3,14,VV1VV2,16
2,true,0,0,VV1,16
2,true,0,1,VV2,16
2,true,0,2,VV1VV2,16
2,false,1,0,VV1VV2,16
2,false,1,1,VV2,16
2,false,1,2,VV2,16
2,false,1,3,VV1,16
2,false,1,4,VV1VV2,16
2,false,1,5,VV1,16
2,false,1,6,VV2,16
2,false,1,7,VV1,16
2,false,1,8,VV1,16
2,false,1,9,VV2,16
2,false,1,10,VV1VV2,16
2,false,1,11,VV1,16
2,false,1,12,VV2,16
2,false,1,13,VV1VV2,16
2,false,1,14,VV1VV2,16
2,true,0,0,VV1,36
2,true,0,1,VV1VV2,36
2,true,0,2,VV2,36
2,false,2,0,VV1,36
2,false,2,1,VV1VV2,36
2,false,2,2,VV1,36
2,false,2,3,VV2,36
2,false,2,4,VV1,36
2,false,2,5,VV1VV2,36
2,false,2,6,VV1VV2,36
2,false,2,7,VV1VV2,36
2,false,2,8,VV1,36
2,false,2,9,VV2,36
2,false,2,10,VV1VV2,36
2,false,2,11,VV2,36
2,false,2,12,VV1,36
2,false,2,13,VV2,36
2,false,2,14,VV2,36
2,true,0,0,VV1VV2,9
2,true,0,1,VV1,9
2,true,0,2,VV2,9
2,false,3,0,VV1VV2,9
2,false,3,1,VV1,9
2,false,3,2,VV1,9
2,false,3,3,VV1,9
2,false,3,4,VV2,9
2,false,3,5,VV1,9
2,false,3,6,VV1VV2,9
2,false,3,7,VV1,9
2,false,3,8,VV2,9
2,false,3,9,VV1VV2,9
2,false,3,10,VV1VV2,9
2,false,3,11,VV2,9
2,false,3,12,VV2,9
2,false,3,13,VV2,9
2,false,3,14,VV1VV2,9
3,true,0,0,VV1,9
3,true,0,1,VV1VV2,9
3,true,0,2,VV2,9
3,false,1,0,VV1,9
3,false,1,1,VV2,9
3,false,1,2,VV1,9
3,false,1,3,VV2,9
3,false,1,4,VV1VV2,9
3,false,1,5,VV1VV2,9
3,false,1,6,VV1VV2,9
3,false,1,7,VV1VV2,9
3,false,1,8,VV1VV2,9
3,false,1,9,VV1,9
3,false,1,10,VV1,9
3,false,1,11,VV1,9
3,false,1,12,VV2,9
3,false,1,13,VV2,9
3,false,1,14,VV2,9
3,true,0,0,VV1VV2,16
3,true,0,1,VV1,16
3,true,0,2,VV2,16
3,false,2,0,VV1VV2,16
3,false,2,1,VV1,16
3,false,2,2,VV1VV2,16
3,false,2,3,VV2,16
3,false,2,4,VV1,16
3,false,2,5,VV2,16
3,false,2,6,VV2,16
3,false,2,7,VV2,16
3,false,2,8,VV1,16
3,false,2,9,VV2,16
3,false,2,10,VV1,16
3,false,2,11,VV1VV2,16
3,false,2,12,VV1VV2,16
3,false,2,13,VV1,16
3,false,2,14,VV1VV2,16
3,true,0,0,VV1VV2,36
3,true,0,1,VV2,36
3,true,0,2,VV1,36
3,false,3,0,VV2,36
3,false,3,1,VV2,36
3,false,3,2,VV1VV2,36
3,false,3,3,VV2,36
3,false,3,4,VV1,36
3,false,3,5,VV2,36
3,false,3,6,VV1VV2,36
3,false,3,7,VV1VV2,36
3,false,3,8,VV2,36
3,false,3,9,VV1VV2,36
3,false,3,10,VV1,36
3,false,3,11,VV1,36
3,false,3,12,VV1,36
3,false,3,13,VV1VV2,36
3,false,3,14,VV1,36
4,true,0,0,VV1VV2,36
4,true,0,1,VV1,36
4,true,0,2,VV2,36
4,false,1,0,VV1,36
4,false,1,1,VV1VV2,36
4,false,1,2,VV2,36
4,false,1,3,VV1VV2,36
4,false,1,4,VV1VV2,36
4,false,1,5,VV1,36
4,false,1,6,VV2,36
4,false,1,7,VV2,36
4,false,1,8,VV1,36
4,false,1,9,VV2,36
4,false,1,10,VV1VV2,36
4,false,1,11,VV2,36
4,false,1,12,VV1VV2,36
4,false,1,13,VV1,36
4,false,1,14,VV1,36
4,true,0,0,VV2,9
4,true,0,1,VV1VV2,9
4,true,0,2,VV1,9
4,false,2,0,VV1VV2,9
4,false,2,1,VV1,9
4,false,2,2,VV1VV2,9
4,false,2,3,VV1VV2,9
4,false,2,4,VV1VV2,9
4,false,2,5,VV1,9
4,false,2,6,VV1,9
4,false,2,7,VV2,9
4,false,2,8,VV2,9
4,false,2,9,VV1,9
4,false,2,10,VV1VV2,9
4,false,2,11,VV2,9
4,false,2,12,VV2,9
4,false,2,13,VV1,9
4,false,2,14,VV2,9
4,true,0,0,VV1VV2,16
4,true,0,1,VV1,16
4,true,0,2,VV2,16
4,false,3,0,VV1,16
4,false,3,1,VV1VV2,16
4,false,3,2,VV2,16
4,false,3,3,VV1VV2,16
4,false,3,4,VV1VV2,16
4,false,3,5,VV2,16
4,false,3,6,VV1VV2,16
4,false,3,7,VV1,16
4,false,3,8,VV2,16
4,false,3,9,VV2,16
4,false,3,10,VV1,16
4,false,3,11,VV2,16
4,false,3,12,VV1,16
4,false,3,13,VV1VV2,16
4,false,3,14,VV1,16
5,true,0,0,VV1VV2,16
5,true,0,1,VV2,16
5,true,0,2,VV1,16
5,false,1,0,VV2,16
5,false,1,1,VV1,16
5,false,1,2,VV1VV2,16
5,false,1,3,VV2,16
5,false,1,4,VV1,16
5,false,1,5,VV2,16
5,false,1,6,VV1,16
5,false,1,7,VV2,16
5,false,1,8,VV1VV2,16
5,false,1,9,VV1VV2,16
5,false,1,10,VV1,16
5,false,1,11,VV1VV2,16
5,false,1,12,VV2,16
5,false,1,13,VV1,16
5,false,1,14,VV1VV2,16
5,true,0,0,VV1,36
5,true,0,1,VV1VV2,36
5,true,0,2,VV2,36
5,false,2,0,VV1,36
5,false,2,1,VV2,36
5,false,2,2,VV1VV2,36
5,false,2,3,VV1VV2,36
5,false,2,4,VV1,36
5,false,2,5,VV1VV2,36
5,false,2,6,VV2,36
5,false,2,7,VV1VV2,36
5,false,2,8,VV1,36
5,false,2,9,VV1,36
5,false,2,10,VV2,36
5,false,2,11,VV1,36
5,false,2,12,VV1VV2,36
5,false,2,13,VV2,36
5,false,2,14,VV2,36
5,true,0,0,VV1,9
5,true,0,1,VV2,9
5,true,0,2,VV1VV2,9
5,false,3,0,VV1VV2,9
5,false,3,1,VV1,9
5,false,3,2,VV1,9
5,false,3,3,VV2,9
5,false,3,4,VV1,9
5,false,3,5,VV2,9
5,false,3,6,VV1,9
5,false,3,7,VV2,9
5,false,3,8,VV1VV2,9
5,false,3,9,VV2,9
5,false,3,10,VV1,9
5,false,3,11,VV1VV2,9
5,false,3,12,VV2,9
5,false,3,13,VV1VV2,9
5,false,3,14,VV1VV2,9
